Name,Link
A Cohort Analysis of Wages in Indonesia,https://www.tandfonline.com/doi/abs/10.1080/00036840110118115
Underemployment: Consequences for the Health and Well-Being of Workers,https://link.springer.com/article/10.1023/A:1025638705649
